rising_edge_ns,falling_edge_ns
1771360175999980000,1771360176199985000
1771360176999980000,1771360177499980000
1771360178000490000,1771360178200490000
1771360178999980000,1771360179801722000
1771360179999980000,1771360180199980000
1771360180999980000,1771360181199980000
1771360181999980000,1771360182199980000
1771360182999981000,1771360183199981000
1771360183999980000,1771360184199980000
1771360184999980000,1771360185200160000
1771360185999980000,1771360186199980000
1771360186999980000,1771360187199980000
1771360187999980000,1771360188199980000
1771360188999980000,1771360189799980000
1771360190000618000,1771360190200618000
1771360191000311000,1771360191500311000
1771360191999980000,1771360192499980000
1771360192999980000,1771360193199980000
1771360193999980000,1771360194199980000
1771360194999980000,1771360195199980000
1771360195999981000,1771360196500091000
1771360196999980000,1771360197199980000
1771360197999980000,1771360198199980000
1771360198999980000,1771360199799980000
1771360199999980000,1771360200802557000
1771360201005764000,1771360201205764000
1771360201999980000,1771360202199980000
1771360202999980000,1771360203199980000
1771360203999980000,1771360204199980000
1771360204999980000,1771360205199980000
1771360205999980000,1771360206199980000
1771360206999980000,1771360207199980000
1771360208000127000,1771360208200127000
1771360208999980000,1771360209799980000
1771360210000440000,1771360210200440000
1771360210999980000,1771360211199980000
1771360211999980000,1771360212199980000
1771360212999980000,1771360213204236000
1771360213999980000,1771360214199980000
1771360214999980000,1771360215499980000
1771360215999980000,1771360216499980000
1771360216999980000,1771360217199980000
1771360217999980000,1771360218199980000
1771360218999980000,1771360219799980000
1771360219999980000,1771360220199980000
1771360220999980000,1771360221199980000
1771360221999981000,1771360222199981000
1771360222999980000,1771360223199980000
1771360224002155000,1771360224202155000
1771360224999980000,1771360225199980000
1771360225999980000,1771360226499980000
1771360226999980000,1771360227199980000
1771360227999980000,1771360228199980000
1771360228999980000,1771360229799980000
1771360229999980000,1771360230199980000
1771360230999980000,1771360231199980000
1771360231999980000,1771360232199980000
1771360232999980000,1771360233499980000
1771360233999980000,1771360234199980000
1771360234999980000,1771360235199980000
1771360235999980000,1771360236199980000
1771360236999980000,1771360237499980000
1771360237999980000,1771360238199980000
1771360238999980000,1771360239799980000
1771360239999980000,1771360240199980000
1771360240999980000,1771360241199980000
1771360241999980000,1771360242199980000
1771360242999980000,1771360243199980000
1771360243999980000,1771360244199980000
1771360244999980000,1771360245199980000
1771360245999980000,1771360246199980000
1771360246999980000,1771360247199980000
1771360247999980000,1771360248199980000
1771360248999980000,1771360249799980000
1771360249999981000,1771360250199981000
1771360250999980000,1771360251499980000
1771360251999980000,1771360252499980000
1771360252999980000,1771360253199980000
1771360253999980000,1771360254199980000
1771360254999980000,1771360255199980000
1771360255999980000,1771360256499980000
1771360256999980000,1771360257199980000
1771360257999980000,1771360258199980000
1771360258999980000,1771360259799980000
